DatGeracaoConjuntoDados;IdeMdl;IdeTipMdl;DscSitLinTms;IdeLinTms;IdeSbeOri;IdeSbeDsn;NomLinTms;NumCcuLinTms;QtdTorLinTms;NumEtnLinTms;IdeOnsSbeOrigem;NomSubestacaoOrigem;NomLongoSubestacaoOrigem;SigUFSubestacaoOrigem;IdeOnsSbeDestino;NomSubestacaoDestino;NomLongoSubestacaoDestino;SigUFSubestacaoDestino
2024-07-09;21370;4;Ativa;1457;2849;2850;LT 230 kV ILHA SOLTEIRA 2 /INOCENCIA MS;2;163;,0000000000;MSISO2;ILHA SOLTEIRA 2;SUB ILHA SOLTEIRA 2   MS;MS;MSINO;INOCENCIA;SUB INOCENCIA   MS;MS
2024-07-09;21371;4;Ativa;1457;2849;2850;LT 230 kV ILHA SOLTEIRA 2 /INOCENCIA MS;3;164;,0000000000;MSISO2;ILHA SOLTEIRA 2;SUB ILHA SOLTEIRA 2   MS;MS;MSINO;INOCENCIA;SUB INOCENCIA   MS;MS
2024-07-09;21372;4;Ativa;1458;2850;2851;LT 230 kV INOCENCIA /CHAPADAO MS;1;341;,0000000000;MSINO;INOCENCIA;SUB INOCENCIA   MS;MS;MSCAO;CHAPADAO;SUB CHAPADAO    MS;MS
2024-07-09;21373;4;Ativa;1458;2850;2851;LT 230 kV INOCENCIA /CHAPADAO MS;2;341;,0000000000;MSINO;INOCENCIA;SUB INOCENCIA   MS;MS;MSCAO;CHAPADAO;SUB CHAPADAO    MS;MS
2024-07-09;21374;4;Ativa;1458;2850;2851;LT 230 kV INOCENCIA /CHAPADAO MS;3;338;,0000000000;MSINO;INOCENCIA;SUB INOCENCIA   MS;MS;MSCAO;CHAPADAO;SUB CHAPADAO    MS;MS
2024-07-09;21375;4;Desativada;1459;2851;763;LT 230 kV CHAPADAO /IMBIRUSSU MS;1;0;320,0000000000;MSCAO;CHAPADAO;SUB CHAPADAO    MS;MS;MSIMB;IMBIRUSSU;SUB IMBIRUSSU     MS;MS
2024-07-09;21376;4;Ativa;1460;763;774;LT 230 kV IMBIRUSSU /SIDROLANDIA MS;1;96;48,0000000000;MSIMB;IMBIRUSSU;SUB IMBIRUSSU     MS;MS;MSSIA;SIDROLANDIA;SUB SIDROLANDIA   MS;MS
2024-07-09;21377;4;Ativa;1461;774;736;LT 230 kV SIDROLANDIA /ANASTACIO MS;1;228;101,0000000000;MSSIA;SIDROLANDIA;SUB SIDROLANDIA   MS;MS;MSANA;ANASTACIO;SUB ANASTACIO     MS;MS
2024-07-09;21378;4;Ativa;1462;2851;2854;LT 230 kV CHAPADAO /JATAI MS/GO;1;298;138,0500000000;MSCAO;CHAPADAO;SUB CHAPADAO    MS;MS;GOJAT;JATAI;SUB JATAI    GO;GO
2024-07-09;21379;4;Ativa;1462;2851;2854;LT 230 kV CHAPADAO /JATAI MS/GO;2;298;138,0500000000;MSCAO;CHAPADAO;SUB CHAPADAO    MS;MS;GOJAT;JATAI;SUB JATAI    GO;GO
